"Name","Hex Code"
"Electric Vehicles","#808080"
"Heat Pumps","#99CC34"
"Fuel Cells & Green Hydrogen","#1E81E6"
"Wind Power","#1FB3AB"
"Solar Power","#33CD32"
"Hydroelectric Power","#FE69B5"
"Nuclear Power","#FF8C03"
"Batteries","#DB153D"
"Electric Grid","#8B2BE2"
"Critical Metals & Minerals","#8B4512"
