"Name","Hex Code"
"Agricultural Goods","#e0b614"
"Construction Goods","#c77c2b"
"Electronics","#5cc7c6"
"Chemicals & Basic Metals","#9c3bd6"
"Metalworking Machinery","#c43d3d"
"Minerals","#7a6a63"
"Textile & Home Goods","#8a8a8a"
"Apparel","#2fa84f"
