"Name","Hex Code"
"Services","#b23c6f"
"Textiles","#7bc8a4"
"Agriculture","#e5c21a"
"Stone","#caa46b"
"Minerals","#a88b7d"
"Metals","#c9656b"
"Chemicals","#b07ac9"
"Vehicles","#7a6cc3"
"Machinery","#6e8fc3"
"Electronics","#74c5c6"
"Other","#2f5d74"
