"Name","Hex Code"
"Services","#b23c6f"
"Food","#e5c21a"
"Beverages","#e76f8f"
"Crude Materials","#cf6f6f"
"Fuels","#b39183"
"Vegetable Oils","#f39c12"
"Chemicals","#b07ac9"
"Material Manufacturers","#d73027"
"Machinery & Vehicles","#6e8fc3"
"Other Manufacturers","#1f9d9a"
"Unspecified","#355f73"
